id,dwelown,polviews,SCIENTOD,hotcore,SCIENTBR,SYNMEM,divorce,MAOCC10,satfam7,whoelse1,engnrsci,CONVICTD,MEDTREAT,libcom,VISZOO,weekswrk,attend,satjob7,nathealy,phone,wordf,libhomo,jobsecok,peoptrbl,age,helpnot,SCIENTDN,natfarey,spkath,hivtest,PAIDLV,reliten,SCIENTGO,ENGLONE,posslq,region,histsci,kidsuffr,ELDCOST,ELDERSUP,accptoth,EVNEGJOB,coldeg1,obey,spkcom,natsci,natrace,intethn,natcity,wksubs,relate1,VISART,RUMORWK,SPOCC10,sprel,zodiac,cooking1,wlthblks,family16,madeg,intlblks,evstray,relhhd7,VOTE08,SCIENTAL,kidjoy,racopen,CSHUTYP08,poleff13,POLEFY15,intrace2,spanint,SPLIVE,POLEFY16,WEBMOB,finalter,natdrug,selffrst,nateducy,spevwork,astrosci,spother,homosex,libath,racecen1,emailmin,ENGRESP,wrkwayup,seeksci,ENGDO,spanself,gender2,rincome,fechld,MAIND10,VISLIB,relhh1,whoelse2,volchrty
1,1,4,NaN,NaN,NaN,NaN,NaN,NaN,1,2,NaN,2,NaN,2,NaN,42,2,2,2,6,1,2,2,3,22,NaN,NaN,1,NaN,2,1,2,NaN,NaN,NaN,1,NaN,2,NaN,4,3,NaN,NaN,NaN,2,2,NaN,1,NaN,4,1,NaN,4,NaN,NaN,7,NaN,5,1,3,4,3,NaN,2,NaN,3,2,1,NaN,2,NaN,NaN,NaN,NaN,NaN,3,NaN,3,1,NaN,NaN,NaN,4,NaN,1,NaN,NaN,2,NaN,NaN,NaN,2,NaN,1,NaN,NaN,1,2,6
2,NaN,5,3,1,4,NaN,NaN,100,NaN,2,NaN,2,1,2,0,30,NaN,NaN,1,6,NaN,2,1,3,21,2,2,3,1,2,NaN,2,1,NaN,NaN,1,NaN,NaN,NaN,NaN,5,NaN,NaN,2,1,1,NaN,1,NaN,NaN,1,0,4,NaN,NaN,1,NaN,NaN,5,1,NaN,3,NaN,3,3,NaN,1,1,NaN,2,NaN,NaN,NaN,2,NaN,1,NaN,1,1,NaN,2,NaN,1,2,1,NaN,NaN,NaN,5,NaN,NaN,1,NaN,NaN,2190,0,1,2,6
3,NaN,5,3,1,NaN,NaN,2,2540,NaN,2,1,1,NaN,2,1,52,NaN,NaN,NaN,3,NaN,2,1,2,42,3,3,NaN,1,1,NaN,1,2,NaN,1,1,3,NaN,NaN,NaN,3,NaN,NaN,4,1,1,2,1,2,3,1,0,3,2310,1,1,NaN,NaN,5,2,NaN,2,NaN,1,3,NaN,2,1,2,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,3,NaN,1,3,NaN,4,2,16,NaN,NaN,NaN,3,NaN,NaN,2,12,NaN,8470,2,1,2,6
4,1,5,NaN,1,NaN,NaN,1,NaN,2,2,1,2,NaN,NaN,0,0,NaN,NaN,2,3,1,NaN,NaN,NaN,49,5,NaN,3,NaN,1,1,2,NaN,3,NaN,1,4,5,1,2,NaN,NaN,NaN,2,NaN,3,NaN,1,NaN,NaN,1,0,NaN,4700,2,10,1,6,1,3,4,2,NaN,1,NaN,3,NaN,1,NaN,NaN,NaN,NaN,19,NaN,NaN,1,NaN,NaN,1,NaN,3,NaN,NaN,NaN,1,NaN,2,1,3,2,NaN,2,NaN,2,NaN,0,1,2,NaN
5,1,2,2,NaN,4,NaN,NaN,8350,2,2,NaN,2,1,NaN,2,0,1,NaN,1,3,1,NaN,NaN,NaN,70,3,3,1,NaN,2,1,3,2,NaN,NaN,2,NaN,4,2,1,NaN,NaN,2,4,NaN,1,NaN,1,NaN,NaN,1,0,NaN,NaN,NaN,2,NaN,4,3,1,5,2,NaN,1,3,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,NaN,NaN,1,NaN,1,NaN,NaN,NaN,2,30,NaN,1,5,NaN,NaN,NaN,NaN,2,8090,30,1,1,NaN
6,2,4,NaN,NaN,NaN,NaN,2,5700,4,2,NaN,2,NaN,2,NaN,0,NaN,NaN,NaN,6,1,2,NaN,2,50,NaN,NaN,NaN,1,NaN,1,2,NaN,NaN,2,2,NaN,4,1,2,3,NaN,NaN,NaN,1,1,3,1,1,3,1,NaN,NaN,NaN,NaN,2,2,4,0,1,5,NaN,NaN,1,NaN,2,2,1,2,NaN,NaN,NaN,NaN,NaN,NaN,3,1,4,NaN,NaN,NaN,NaN,4,2,1,5,NaN,2,NaN,NaN,NaN,2,NaN,2,770,NaN,1,2,6
7,2,4,NaN,NaN,NaN,NaN,2,4760,2,1,NaN,2,NaN,NaN,NaN,0,3,NaN,NaN,6,1,NaN,NaN,NaN,35,3,NaN,NaN,NaN,1,1,3,NaN,NaN,1,2,NaN,4,1,2,NaN,NaN,NaN,3,NaN,2,2,1,1,NaN,1,NaN,NaN,6260,2,8,1,4,1,1,NaN,2,NaN,2,NaN,2,NaN,1,NaN,NaN,NaN,NaN,12,NaN,NaN,3,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,NaN,2,NaN,NaN,NaN,2,NaN,2,8680,NaN,1,1,NaN
8,NaN,4,2,1,3,NaN,NaN,4230,NaN,1,4,2,NaN,1,0,0,3,NaN,2,6,NaN,2,NaN,2,24,1,2,1,NaN,NaN,NaN,2,3,NaN,NaN,2,NaN,NaN,NaN,NaN,5,NaN,NaN,1,2,2,NaN,1,NaN,NaN,1,0,NaN,NaN,NaN,8,NaN,NaN,7,NaN,NaN,NaN,NaN,3,3,NaN,1,1,NaN,2,NaN,NaN,NaN,2,NaN,2,NaN,2,2,NaN,2,NaN,4,2,16,NaN,NaN,NaN,5,NaN,NaN,2,NaN,NaN,9290,5,1,2,6
9,2,6,NaN,NaN,NaN,NaN,2,4720,3,1,NaN,NaN,NaN,2,NaN,0,NaN,NaN,NaN,6,0,1,NaN,2,28,NaN,NaN,NaN,1,1,1,4,NaN,NaN,2,2,NaN,4,1,1,5,NaN,NaN,NaN,1,3,1,1,1,NaN,1,NaN,NaN,NaN,NaN,7,1,7,0,1,NaN,2,NaN,1,NaN,1,2,1,2,NaN,NaN,NaN,0,NaN,1,2,2,2,NaN,NaN,NaN,NaN,4,2,2,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,2,4970,NaN,1,1,6
10,NaN,2,3,1,3,NaN,NaN,4600,NaN,2,NaN,1,1,2,0,52,2,NaN,NaN,6,NaN,2,2,2,28,1,NaN,NaN,1,1,NaN,4,2,NaN,4,2,NaN,NaN,NaN,NaN,4,2,2,5,1,2,1,1,NaN,3,1,0,1,NaN,NaN,2,NaN,NaN,1,1,NaN,3,NaN,1,3,NaN,2,1,2,NaN,NaN,NaN,NaN,NaN,NaN,3,1,4,NaN,NaN,3,NaN,4,2,1,NaN,NaN,NaN,3,NaN,NaN,NaN,12,NaN,7070,5,1,2,4
11,2,1,NaN,NaN,NaN,NaN,NaN,NaN,1,2,NaN,1,NaN,NaN,NaN,0,7,NaN,1,6,NaN,NaN,NaN,1,55,NaN,NaN,1,1,NaN,1,1,NaN,NaN,NaN,1,NaN,2,NaN,NaN,4,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,1,NaN,NaN,NaN,NaN,12,3,5,4,7,4,1,NaN,1,NaN,1,1,1,NaN,3,NaN,NaN,NaN,3,NaN,3,NaN,1,1,NaN,NaN,NaN,NaN,2,1,NaN,NaN,NaN,NaN,NaN,NaN,2,NaN,2,NaN,NaN,1,2,6
12,2,2,NaN,NaN,NaN,NaN,NaN,5400,2,2,NaN,2,NaN,NaN,NaN,52,NaN,4,NaN,3,1,NaN,2,NaN,36,3,NaN,NaN,NaN,1,1,2,NaN,NaN,2,1,NaN,5,NaN,2,NaN,NaN,NaN,4,NaN,2,1,1,1,4,1,NaN,NaN,NaN,NaN,10,1,4,5,1,4,3,NaN,2,NaN,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,NaN,NaN,2,NaN,NaN,NaN,1,6,2,6890,NaN,1,2,NaN
13,NaN,4,NaN,1,NaN,NaN,NaN,NaN,NaN,1,2,2,NaN,2,0,0,NaN,NaN,1,6,NaN,2,NaN,3,28,3,NaN,1,1,1,NaN,4,NaN,NaN,NaN,1,3,NaN,NaN,NaN,2,NaN,NaN,2,1,3,NaN,1,NaN,NaN,1,0,NaN,NaN,NaN,10,NaN,NaN,0,1,NaN,3,NaN,2,NaN,NaN,1,1,NaN,3,NaN,NaN,NaN,3,NaN,2,NaN,3,1,NaN,1,NaN,4,2,1,NaN,2,NaN,4,5,NaN,1,NaN,NaN,NaN,0,1,2,6
14,2,NaN,NaN,NaN,NaN,NaN,NaN,4230,1,2,NaN,2,NaN,1,NaN,0,NaN,NaN,NaN,6,NaN,1,NaN,1,59,NaN,NaN,NaN,2,2,1,1,NaN,NaN,4,1,NaN,3,2,2,3,NaN,NaN,NaN,2,2,1,1,1,NaN,1,NaN,NaN,NaN,NaN,9,NaN,4,0,NaN,4,2,NaN,1,NaN,2,2,1,1,NaN,NaN,NaN,NaN,NaN,NaN,1,3,2,NaN,NaN,NaN,NaN,1,1,2,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,2,9290,NaN,1,2,1
15,2,7,2,1,2,NaN,NaN,8320,1,2,3,2,NaN,NaN,2,52,3,4,1,3,1,NaN,3,NaN,52,1,2,2,NaN,2,1,2,2,NaN,NaN,1,3,1,1,2,NaN,NaN,NaN,3,NaN,1,NaN,3,NaN,3,1,0,4,NaN,NaN,9,NaN,7,1,NaN,7,3,NaN,2,3,2,NaN,1,NaN,NaN,NaN,2,NaN,NaN,NaN,1,NaN,NaN,2,NaN,3,NaN,NaN,NaN,NaN,10,NaN,2,5,NaN,3,1,10,3,1680,0,1,2,NaN
16,NaN,3,NaN,1,NaN,NaN,NaN,800,NaN,2,NaN,2,1,1,3,52,4,NaN,NaN,6,NaN,2,1,1,35,1,NaN,NaN,2,1,NaN,2,NaN,3,3,1,NaN,NaN,NaN,NaN,1,NaN,NaN,3,2,2,1,1,1,3,1,2,2,NaN,NaN,12,NaN,NaN,3,1,NaN,3,NaN,1,NaN,NaN,2,1,2,NaN,NaN,NaN,NaN,NaN,NaN,1,1,4,NaN,NaN,1,NaN,4,1,2,NaN,2,NaN,3,3,NaN,1,12,NaN,8190,12,1,2,5
17,1,4,NaN,NaN,NaN,NaN,2,NaN,2,1,2,2,NaN,NaN,1,45,7,3,2,6,0,NaN,3,NaN,36,3,NaN,2,NaN,1,NaN,3,NaN,NaN,NaN,1,3,2,2,NaN,NaN,NaN,NaN,5,NaN,NaN,NaN,1,NaN,3,1,0,4,8300,2,3,5,6,8,1,4,2,NaN,3,NaN,2,NaN,1,NaN,NaN,NaN,NaN,12,NaN,NaN,2,NaN,NaN,2,1,NaN,NaN,NaN,NaN,1,NaN,1,3,3,4,NaN,2,12,3,NaN,12,1,2,NaN
18,2,6,NaN,NaN,NaN,NaN,NaN,2330,2,2,NaN,2,NaN,NaN,NaN,52,5,3,NaN,3,0,NaN,2,NaN,47,3,NaN,NaN,NaN,1,1,1,NaN,NaN,NaN,2,NaN,5,2,1,NaN,NaN,NaN,3,NaN,3,2,1,2,4,1,NaN,2,NaN,NaN,3,NaN,5,7,4,5,2,NaN,1,NaN,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,NaN,NaN,1,NaN,NaN,NaN,2,12,1,7860,NaN,1,1,NaN
19,NaN,4,NaN,2,NaN,NaN,1,4760,NaN,1,NaN,NaN,2,2,1,52,4,NaN,2,6,NaN,1,1,2,55,3,NaN,1,2,NaN,NaN,2,NaN,2,NaN,2,NaN,NaN,NaN,NaN,3,NaN,NaN,3,2,1,NaN,2,NaN,3,1,1,4,NaN,2,2,NaN,NaN,5,NaN,NaN,NaN,NaN,2,NaN,NaN,2,1,NaN,4,NaN,NaN,NaN,5,NaN,3,NaN,2,1,2,2,NaN,3,2,NaN,NaN,1,NaN,5,3,NaN,1,12,NaN,1190,1,1,1,5
20,2,4,NaN,NaN,NaN,NaN,NaN,9640,3,2,NaN,2,NaN,1,NaN,0,2,NaN,1,3,1,2,NaN,1,18,NaN,NaN,1,1,2,1,2,NaN,NaN,NaN,2,NaN,4,2,2,3,NaN,NaN,NaN,2,2,NaN,2,NaN,NaN,1,NaN,NaN,NaN,NaN,12,NaN,4,5,NaN,4,3,NaN,3,NaN,2,2,1,NaN,1,NaN,NaN,NaN,3,NaN,3,NaN,3,1,NaN,NaN,NaN,4,2,16,0,NaN,2,NaN,NaN,NaN,2,NaN,3,2280,NaN,1,1,6
21,NaN,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,3,2,NaN,2,0,40,7,NaN,NaN,2,NaN,1,NaN,1,76,1,NaN,NaN,2,2,NaN,1,NaN,4,4,2,3,NaN,NaN,NaN,6,NaN,NaN,1,2,1,1,1,1,NaN,1,1,NaN,NaN,NaN,5,NaN,NaN,1,NaN,NaN,2,NaN,1,NaN,NaN,2,1,1,NaN,NaN,2,NaN,NaN,NaN,2,2,1,NaN,NaN,2,NaN,1,2,16,NaN,2,NaN,5,1,3,2,NaN,NaN,NaN,1,1,2,6
22,NaN,7,3,1,3,NaN,NaN,8965,NaN,2,3,2,NaN,1,0,48,3,NaN,3,6,NaN,1,1,4,39,1,3,1,2,1,NaN,1,2,NaN,NaN,2,2,NaN,NaN,NaN,1,NaN,NaN,1,2,2,NaN,1,NaN,3,1,0,4,NaN,NaN,2,NaN,NaN,1,NaN,NaN,3,NaN,1,1,NaN,2,1,NaN,3,NaN,NaN,NaN,3,NaN,3,NaN,2,2,NaN,2,NaN,1,1,16,NaN,NaN,NaN,3,NaN,NaN,2,NaN,NaN,3990,0,1,1,5
23,1,6,NaN,1,NaN,NaN,2,5860,1,2,NaN,2,1,NaN,0,52,7,5,2,3,1,NaN,3,NaN,54,2,NaN,2,NaN,2,1,1,NaN,3,NaN,2,NaN,4,2,2,NaN,NaN,1,3,NaN,2,NaN,1,NaN,3,1,0,2,350,1,2,4,4,5,1,4,2,NaN,2,NaN,2,NaN,1,NaN,NaN,NaN,NaN,32,NaN,NaN,2,NaN,NaN,3,NaN,3,58,NaN,NaN,1,NaN,2,2,4,3,NaN,2,12,1,1290,4,1,2,NaN
24,1,2,NaN,NaN,NaN,NaN,2,NaN,2,1,NaN,2,NaN,NaN,NaN,52,2,2,NaN,3,NaN,NaN,1,NaN,45,3,NaN,NaN,NaN,NaN,1,4,NaN,NaN,1,2,NaN,5,2,2,NaN,NaN,NaN,3,NaN,3,NaN,2,1,3,1,NaN,4,1107,4,7,2,3,4,7,5,NaN,NaN,2,NaN,1,NaN,1,NaN,NaN,NaN,NaN,21,NaN,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,30,NaN,NaN,NaN,NaN,NaN,2,12,1,NaN,NaN,1,1,NaN
25,1,5,3,1,3,NaN,2,NaN,1,2,2,2,NaN,NaN,0,0,7,NaN,2,3,1,NaN,NaN,NaN,71,5,3,2,NaN,2,2,1,2,NaN,NaN,2,4,2,1,2,NaN,NaN,NaN,1,NaN,2,NaN,1,NaN,4,1,0,NaN,5120,1,12,4,4,1,NaN,4,2,NaN,1,NaN,2,NaN,1,NaN,NaN,NaN,NaN,43,NaN,NaN,3,NaN,NaN,2,NaN,3,NaN,NaN,NaN,1,0,NaN,1,3,NaN,NaN,2,NaN,2,NaN,0,1,2,NaN
26,NaN,4,NaN,2,NaN,NaN,2,800,NaN,2,NaN,2,2,NaN,1,52,5,NaN,NaN,3,NaN,2,2,2,42,3,NaN,NaN,2,1,NaN,1,NaN,NaN,1,2,NaN,NaN,NaN,NaN,4,NaN,2,5,1,2,2,2,2,3,1,3,4,1010,2,8,NaN,NaN,1,3,NaN,NaN,NaN,1,NaN,NaN,2,1,2,NaN,NaN,NaN,NaN,NaN,NaN,3,2,3,NaN,NaN,2,NaN,NaN,2,1,NaN,2,NaN,3,4,NaN,1,NaN,NaN,3370,5,1,2,4
27,1,4,NaN,NaN,NaN,NaN,NaN,5700,2,2,NaN,2,NaN,1,NaN,52,3,2,1,3,1,1,1,2,22,NaN,NaN,1,1,2,1,3,NaN,NaN,NaN,2,NaN,4,1,2,3,NaN,NaN,NaN,2,1,NaN,1,NaN,4,1,NaN,4,NaN,NaN,3,NaN,5,1,1,4,3,NaN,1,NaN,2,2,1,NaN,4,NaN,NaN,NaN,1,NaN,3,NaN,1,1,NaN,NaN,NaN,3,2,1,NaN,NaN,2,NaN,NaN,NaN,1,10,2,7860,NaN,1,2,4
28,2,4,NaN,NaN,NaN,NaN,1,4230,1,2,NaN,NaN,NaN,2,NaN,0,NaN,NaN,NaN,3,0,2,NaN,2,50,NaN,NaN,1,1,2,NaN,3,NaN,NaN,NaN,2,NaN,4,2,1,5,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,3,1,NaN,NaN,3600,1,12,3,4,5,NaN,4,2,NaN,2,NaN,1,1,1,NaN,1,NaN,NaN,15,1,2,2,NaN,2,2,NaN,NaN,NaN,1,2,1,NaN,NaN,1,NaN,NaN,NaN,1,NaN,1,8660,NaN,1,2,6
29,1,4,NaN,NaN,NaN,NaN,2,4230,4,2,NaN,2,NaN,NaN,NaN,0,6,NaN,NaN,2,1,NaN,NaN,NaN,81,3,NaN,NaN,NaN,NaN,1,2,NaN,NaN,4,2,NaN,3,NaN,1,NaN,NaN,NaN,4,NaN,1,1,1,1,NaN,1,NaN,NaN,NaN,NaN,9,NaN,6,1,NaN,NaN,NaN,NaN,1,NaN,2,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,0,NaN,5,NaN,NaN,NaN,NaN,NaN,1,8290,NaN,1,2,NaN
30,1,6,NaN,NaN,NaN,NaN,NaN,8965,3,2,NaN,2,NaN,1,NaN,0,7,1,NaN,6,1,1,1,2,44,NaN,NaN,NaN,1,NaN,1,1,NaN,NaN,4,2,NaN,2,1,1,3,NaN,NaN,NaN,1,2,2,1,1,3,1,NaN,4,NaN,NaN,8,NaN,3,2,1,6,NaN,NaN,1,NaN,1,2,1,1,NaN,NaN,NaN,NaN,NaN,NaN,2,2,1,NaN,NaN,NaN,NaN,1,1,1,0,NaN,1,NaN,NaN,NaN,1,8,2,3570,NaN,1,2,2
31,NaN,4,NaN,1,NaN,NaN,NaN,NaN,NaN,2,2,2,NaN,1,1,0,NaN,NaN,NaN,6,NaN,1,NaN,2,78,5,NaN,NaN,2,NaN,NaN,NaN,NaN,3,4,2,3,NaN,NaN,NaN,3,NaN,2,4,2,2,2,1,2,NaN,1,1,NaN,NaN,NaN,4,NaN,NaN,1,1,NaN,3,NaN,1,NaN,NaN,2,1,2,NaN,NaN,NaN,NaN,NaN,NaN,3,1,3,NaN,NaN,3,NaN,1,1,1,NaN,2,NaN,7,3,NaN,NaN,NaN,NaN,NaN,36,1,2,5
32,1,2,NaN,NaN,NaN,NaN,NaN,5700,3,2,NaN,2,NaN,NaN,NaN,52,7,3,NaN,3,0,NaN,3,NaN,63,3,NaN,NaN,NaN,2,1,1,NaN,NaN,4,2,NaN,5,1,4,NaN,NaN,NaN,3,NaN,1,2,1,2,3,1,NaN,1,NaN,NaN,6,NaN,4,1,1,4,1,NaN,1,NaN,2,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,1,NaN,NaN,NaN,NaN,12,1,9590,NaN,1,2,NaN
33,1,2,NaN,1,NaN,NaN,2,2340,1,2,NaN,2,1,NaN,0,0,NaN,NaN,1,3,1,NaN,NaN,NaN,73,1,NaN,1,NaN,2,1,4,NaN,4,NaN,2,NaN,5,NaN,3,NaN,NaN,3,5,NaN,1,NaN,1,NaN,NaN,1,12,NaN,2310,4,4,3,4,5,NaN,3,2,NaN,1,NaN,3,NaN,1,NaN,NaN,NaN,NaN,46,NaN,NaN,3,NaN,NaN,1,1,3,NaN,NaN,NaN,1,NaN,1,4,2,1,NaN,2,NaN,1,7890,NaN,1,2,NaN
34,NaN,3,3,1,3,NaN,2,NaN,NaN,2,NaN,2,1,2,1,52,4,NaN,NaN,3,NaN,2,2,1,40,5,3,NaN,1,2,NaN,2,1,NaN,1,2,NaN,NaN,NaN,NaN,3,NaN,2,2,1,3,NaN,1,NaN,3,1,0,4,120,7,8,NaN,NaN,1,4,NaN,2,NaN,3,1,NaN,2,1,2,NaN,NaN,NaN,NaN,NaN,NaN,3,3,4,NaN,1,2,NaN,4,2,4,NaN,NaN,NaN,3,NaN,NaN,1,12,NaN,NaN,1,1,2,6
35,2,5,NaN,NaN,NaN,NaN,1,5700,3,2,NaN,2,NaN,NaN,NaN,52,4,3,NaN,6,1,NaN,2,NaN,42,4,NaN,NaN,NaN,2,1,3,NaN,NaN,1,2,NaN,5,1,2,NaN,NaN,NaN,4,NaN,NaN,2,1,2,3,1,NaN,4,9130,2,9,1,5,5,1,5,2,NaN,1,NaN,2,NaN,1,NaN,NaN,NaN,NaN,7,NaN,NaN,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,NaN,2,NaN,NaN,NaN,NaN,12,2,8090,NaN,1,2,NaN
36,NaN,2,NaN,1,NaN,NaN,NaN,NaN,NaN,2,1,2,NaN,2,0,52,7,NaN,1,6,NaN,2,2,1,62,3,NaN,1,1,1,NaN,1,NaN,2,NaN,2,3,NaN,NaN,NaN,1,NaN,3,4,1,1,NaN,3,NaN,3,1,0,4,NaN,NaN,8,NaN,NaN,1,1,NaN,1,NaN,1,NaN,NaN,2,1,NaN,4,NaN,NaN,NaN,2,NaN,2,NaN,5,1,NaN,3,NaN,4,2,1,NaN,2,NaN,3,2,NaN,NaN,12,NaN,NaN,0,1,2,1
37,2,NaN,NaN,NaN,NaN,NaN,NaN,7750,1,2,NaN,NaN,NaN,2,NaN,52,NaN,4,NaN,3,0,2,1,3,52,NaN,NaN,NaN,1,NaN,NaN,2,NaN,NaN,2,2,NaN,NaN,2,NaN,5,NaN,NaN,NaN,1,NaN,NaN,3,NaN,3,1,NaN,2,NaN,NaN,1,3,4,1,NaN,4,NaN,NaN,2,NaN,1,2,1,NaN,NaN,NaN,NaN,NaN,NaN,2,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,2,NaN,NaN,NaN,2,12,2,3490,NaN,1,2,6
38,2,4,3,1,4,NaN,NaN,NaN,1,2,3,2,NaN,NaN,0,52,5,1,2,4,NaN,NaN,1,NaN,49,3,2,2,NaN,2,1,2,2,NaN,NaN,2,4,4,2,1,NaN,NaN,NaN,4,NaN,2,NaN,3,NaN,3,1,0,4,NaN,NaN,6,3,4,7,1,5,3,NaN,1,3,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,1,NaN,2,NaN,NaN,NaN,2,0,NaN,3,3,NaN,NaN,1,12,2,NaN,0,1,2,NaN
39,2,2,NaN,NaN,NaN,NaN,NaN,5700,3,2,NaN,2,NaN,2,NaN,52,NaN,3,1,6,1,2,1,1,27,NaN,NaN,1,1,2,1,4,NaN,NaN,NaN,2,NaN,4,1,2,2,NaN,NaN,NaN,1,1,NaN,1,NaN,3,1,NaN,1,NaN,NaN,7,NaN,6,5,3,4,3,NaN,1,NaN,2,2,1,NaN,1,NaN,NaN,NaN,2,NaN,1,NaN,4,1,NaN,NaN,NaN,4,2,6,NaN,NaN,2,NaN,NaN,NaN,NaN,12,1,7970,NaN,1,2,6
40,2,4,NaN,1,NaN,NaN,NaN,5700,2,2,2,2,NaN,NaN,1,52,3,3,1,6,1,NaN,4,NaN,30,3,NaN,1,NaN,1,1,3,NaN,3,NaN,2,3,5,2,1,NaN,NaN,NaN,4,NaN,1,NaN,1,NaN,3,1,0,4,NaN,NaN,3,NaN,6,5,1,5,3,NaN,2,NaN,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,NaN,NaN,1,NaN,2,NaN,NaN,NaN,2,0,2,5,3,3,NaN,1,12,1,6680,2,1,2,NaN
41,NaN,2,1,1,4,NaN,2,2430,NaN,2,1,2,NaN,2,2,52,5,NaN,NaN,6,NaN,2,2,2,29,2,3,NaN,1,2,NaN,1,1,NaN,1,2,3,NaN,NaN,NaN,5,NaN,3,4,1,1,1,3,1,3,1,3,4,1760,7,7,NaN,NaN,1,4,NaN,2,NaN,3,3,NaN,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,1,3,4,NaN,NaN,3,NaN,4,2,4,NaN,NaN,NaN,3,NaN,NaN,2,12,NaN,6770,25,1,2,4
42,1,3,3,1,3,NaN,NaN,4110,3,2,NaN,2,1,NaN,2,0,NaN,NaN,1,3,1,NaN,NaN,NaN,69,3,3,2,NaN,2,1,4,2,NaN,NaN,2,NaN,5,NaN,4,NaN,NaN,NaN,5,NaN,1,NaN,1,NaN,NaN,1,3,NaN,NaN,NaN,6,1,7,1,NaN,3,2,NaN,1,3,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,NaN,NaN,2,NaN,2,NaN,NaN,NaN,1,15,NaN,2,3,NaN,NaN,1,NaN,1,8680,5,1,2,NaN
43,1,5,NaN,NaN,NaN,2,NaN,4830,3,2,NaN,2,NaN,NaN,NaN,52,1,3,NaN,4,1,NaN,2,NaN,51,3,NaN,NaN,NaN,2,1,2,NaN,NaN,2,2,NaN,4,2,2,NaN,NaN,NaN,4,NaN,1,1,1,2,3,1,NaN,4,NaN,NaN,10,3,5,5,2,4,2,NaN,1,NaN,2,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,NaN,3,NaN,NaN,NaN,1,12,1,7670,NaN,1,2,NaN
44,NaN,5,4,1,3,NaN,NaN,5700,NaN,2,1,2,NaN,2,0,52,7,NaN,2,3,NaN,2,1,1,57,4,4,1,1,2,NaN,1,1,NaN,NaN,2,3,NaN,NaN,NaN,3,NaN,2,4,1,2,NaN,2,NaN,3,1,3,4,NaN,NaN,1,NaN,NaN,1,1,NaN,2,NaN,1,4,NaN,2,1,NaN,4,NaN,NaN,NaN,3,NaN,1,NaN,4,2,NaN,3,NaN,4,2,1,NaN,NaN,NaN,3,NaN,NaN,NaN,12,NaN,7860,0,1,2,1
45,NaN,5,3,1,3,2,2,NaN,NaN,2,NaN,2,1,2,0,52,2,NaN,NaN,6,NaN,2,3,2,44,5,3,NaN,2,2,NaN,2,2,NaN,1,2,NaN,NaN,NaN,NaN,4,NaN,2,4,1,2,2,1,2,3,1,0,4,NaN,2,4,NaN,NaN,1,3,NaN,2,NaN,1,3,NaN,2,1,5,NaN,NaN,NaN,NaN,NaN,NaN,1,1,4,NaN,1,3,NaN,4,2,1,NaN,NaN,NaN,3,NaN,NaN,2,12,NaN,NaN,2,1,2,6
46,1,3,NaN,1,NaN,2,1,NaN,2,2,NaN,2,1,NaN,3,0,NaN,NaN,1,3,1,NaN,NaN,NaN,73,3,NaN,3,NaN,NaN,1,2,NaN,3,NaN,2,NaN,2,NaN,2,NaN,NaN,2,4,NaN,1,NaN,2,NaN,NaN,1,2,NaN,3060,3,10,1,6,1,1,4,NaN,NaN,1,NaN,1,NaN,1,NaN,NaN,NaN,NaN,18,NaN,NaN,3,NaN,NaN,1,NaN,3,NaN,NaN,NaN,1,0,2,1,8,5,NaN,1,NaN,1,NaN,0,1,2,NaN
