id,dwelown,polviews,SCIENTOD,hotcore,SCIENTBR,SYNMEM,divorce,MAOCC10,satfam7,whoelse1,engnrsci,CONVICTD,MEDTREAT,libcom,VISZOO,weekswrk,attend,satjob7,nathealy,phone,wordf,libhomo,jobsecok,peoptrbl,age,helpnot,SCIENTDN,natfarey,spkath,hivtest,PAIDLV,reliten,SCIENTGO,ENGLONE,posslq,region,histsci,kidsuffr,ELDCOST,ELDERSUP,accptoth,EVNEGJOB,coldeg1,obey,spkcom,natsci,natrace,intethn,natcity,wksubs,relate1,VISART,RUMORWK,SPOCC10,sprel,zodiac,cooking1,wlthblks,family16,madeg,intlblks,evstray,relhhd7,VOTE08,SCIENTAL,kidjoy,racopen,CSHUTYP08,poleff13,POLEFY15,intrace2,spanint,SPLIVE,POLEFY16,WEBMOB,finalter,natdrug,selffrst,nateducy,spevwork,astrosci,spother,homosex,libath,racecen1,emailmin,ENGRESP,wrkwayup,seeksci,ENGDO,spanself,gender2,rincome,fechld,MAIND10,VISLIB,relhh1,whoelse2,volchrty
912,2,2,2,1,3,NaN,NaN,NaN,3,1,NaN,1,1,NaN,1,12,7,3,1,6,0,NaN,1,NaN,33,3,2,1,NaN,1,1,1,2,NaN,NaN,3,NaN,4,2,2,NaN,NaN,NaN,2,NaN,1,NaN,1,NaN,3,1,0,1,NaN,NaN,11,NaN,5,5,1,4,3,NaN,1,3,2,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,NaN,NaN,1,NaN,3,NaN,NaN,NaN,2,NaN,NaN,1,3,NaN,NaN,1,9,1,NaN,15,1,1,NaN
913,NaN,3,NaN,1,NaN,NaN,NaN,4020,NaN,2,2,2,NaN,1,0,52,5,NaN,NaN,6,NaN,1,1,2,49,5,NaN,NaN,1,2,NaN,2,NaN,NaN,3,3,4,NaN,NaN,NaN,3,NaN,1,4,2,1,NaN,1,1,3,1,0,4,NaN,NaN,2,NaN,NaN,5,NaN,NaN,2,NaN,1,NaN,NaN,2,1,2,NaN,NaN,NaN,NaN,NaN,NaN,3,2,3,NaN,NaN,3,NaN,1,1,7,NaN,2,NaN,3,3,NaN,NaN,12,NaN,9590,0,1,2,4
914,2,4,NaN,NaN,NaN,NaN,NaN,4020,5,2,NaN,2,NaN,NaN,NaN,52,2,4,NaN,6,1,NaN,4,NaN,30,3,NaN,NaN,NaN,2,1,4,NaN,NaN,3,3,NaN,5,NaN,2,NaN,NaN,NaN,4,NaN,2,2,5,2,3,1,NaN,4,NaN,NaN,8,NaN,4,8,NaN,4,3,NaN,2,NaN,1,NaN,1,NaN,NaN,1,NaN,NaN,NaN,NaN,3,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,NaN,NaN,4,NaN,NaN,NaN,1,12,4,8470,NaN,1,2,NaN
915,NaN,3,2,1,3,NaN,NaN,350,NaN,2,NaN,2,1,2,4,52,NaN,NaN,NaN,6,NaN,2,1,2,22,5,4,NaN,1,2,NaN,4,2,NaN,3,3,NaN,NaN,NaN,NaN,1,NaN,2,5,1,3,1,1,3,3,1,2,4,NaN,NaN,3,NaN,NaN,1,1,NaN,3,NaN,1,4,NaN,2,1,2,NaN,NaN,NaN,NaN,NaN,NaN,1,3,3,NaN,NaN,2,NaN,4,2,1,NaN,NaN,NaN,3,NaN,NaN,2,6,NaN,8270,50,1,2,3
916,2,6,NaN,NaN,NaN,NaN,NaN,5860,1,2,NaN,1,NaN,NaN,NaN,44,4,NaN,NaN,6,1,NaN,NaN,NaN,21,3,NaN,NaN,NaN,2,1,1,NaN,NaN,3,3,NaN,5,1,2,NaN,NaN,NaN,4,NaN,2,1,5,2,NaN,1,NaN,NaN,NaN,NaN,11,NaN,5,1,1,5,3,NaN,3,NaN,2,NaN,1,NaN,NaN,1,NaN,NaN,NaN,NaN,3,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,2,NaN,NaN,NaN,2,1,1,3190,NaN,1,2,NaN
917,2,4,NaN,NaN,NaN,NaN,NaN,5120,3,2,NaN,2,NaN,2,NaN,16,7,3,NaN,6,1,2,1,3,21,NaN,NaN,NaN,1,2,1,1,NaN,NaN,4,3,NaN,5,1,2,3,NaN,NaN,NaN,2,1,1,5,2,3,1,NaN,4,NaN,NaN,8,NaN,5,1,2,4,3,NaN,3,NaN,2,1,1,2,NaN,1,NaN,NaN,NaN,NaN,2,1,2,NaN,NaN,NaN,NaN,4,2,1,NaN,NaN,1,NaN,NaN,NaN,2,NaN,1,7280,NaN,1,2,3
918,2,3,1,1,2,NaN,NaN,3310,1,2,2,2,NaN,NaN,0,15,4,NaN,2,6,1,NaN,NaN,NaN,23,4,3,3,NaN,2,1,1,2,NaN,NaN,3,3,4,1,1,NaN,NaN,NaN,4,NaN,1,NaN,5,NaN,NaN,1,0,NaN,NaN,NaN,2,NaN,5,1,3,4,3,NaN,1,4,1,NaN,1,NaN,NaN,1,NaN,NaN,NaN,NaN,1,NaN,NaN,1,NaN,2,NaN,NaN,NaN,1,0,NaN,1,3,NaN,NaN,1,NaN,2,7980,0,1,2,NaN
919,1,6,NaN,NaN,NaN,NaN,2,4140,2,2,NaN,2,NaN,NaN,NaN,26,NaN,NaN,NaN,3,1,NaN,NaN,NaN,67,5,NaN,NaN,NaN,2,2,2,NaN,NaN,1,3,NaN,2,1,2,NaN,NaN,NaN,3,NaN,1,3,1,2,NaN,1,NaN,NaN,5860,1,10,5,6,1,NaN,3,2,NaN,1,NaN,2,NaN,1,NaN,NaN,NaN,NaN,48,NaN,NaN,3,1,NaN,NaN,1,NaN,NaN,NaN,NaN,1,NaN,NaN,1,NaN,NaN,NaN,1,NaN,4,8680,NaN,1,2,NaN
920,2,4,NaN,NaN,NaN,NaN,NaN,4700,3,1,NaN,2,NaN,2,NaN,0,1,NaN,NaN,6,1,2,NaN,2,34,NaN,NaN,NaN,1,1,1,2,NaN,NaN,2,3,NaN,3,1,2,2,NaN,NaN,NaN,1,1,2,1,2,3,1,NaN,NaN,NaN,NaN,1,1,4,3,1,4,2,NaN,2,NaN,1,2,1,2,NaN,NaN,NaN,NaN,NaN,NaN,3,2,2,NaN,NaN,NaN,NaN,4,2,1,30,NaN,2,NaN,NaN,NaN,2,NaN,2,4970,NaN,1,2,6
921,1,4,NaN,1,NaN,NaN,NaN,740,1,2,1,2,NaN,NaN,1,52,5,2,2,6,1,NaN,1,NaN,18,2,NaN,2,NaN,2,1,2,NaN,3,NaN,3,3,4,2,2,NaN,NaN,NaN,2,NaN,2,NaN,1,NaN,4,1,0,4,NaN,NaN,1,NaN,3,1,1,5,3,NaN,3,NaN,2,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,1,NaN,3,NaN,NaN,NaN,1,0,1,1,3,3,NaN,2,1,1,NaN,0,1,2,NaN
