"loan_id","loan_status","num_borrowers","gender_ratio","borrower_picture","desc_language","sector","activity","loan_amount","funded_amount","basket_amount","paid_amount","currency_exchange_loss_amount","disbursal_currency","posted_date","funded_date","paid_date","planned_expiration_date","delinquent","video","country_code","journal_entries","bulk_entries","partner_id","partner_status","num_lenders","partner_rating","due_diligence_type","partner_start_date","delinquency_rate","default_rate","total_amount_raised","partner_loans_posted","lender_country_code","lender_occupation","lender_loan_count","lender_inviter","lender_invitee_count","lender_member_since","lender_teams_count"
296550,"paid",14,1,0,"fr","Food","Fruits & Vegetables",4275,4275,0,4275,0,"XOF",4143.93059,4145.323113,4366.396748,10000,"FALSE","TRUE","SN",0,0,105,"active",50,2.5,"Full",2974.493171,0,0,4495400,2935,"SE","consultant",70,"FALSE",0,3443.879792,1
73070,"paid",1,1,0,"es","Retail","Personal Products Sales",550,550,0,550,0,"PEN",3240.889144,3242.36,3362.825787,10000,"FALSE","TRUE","PE",0,0,72,"active",12,3.5,"Full",2792.684063,0,0.005931304,4219675,8595,"CA","student",67,"FALSE",1,3242.354201,1
8258,"paid",1,1,0,"en","Clothing","Clothing Sales",750,750,0,750,0,"USD",2708.800162,2710.197778,2998.419514,10000,"FALSE","TRUE","GH",0,0,19,"closed",16,0,"Full",2503.060938,0,0,502200,600,"US","other",47,"FALSE",0,2652.725521,0
251393,"paid",11,1,0,"es","Food","Fruits & Vegetables",3800,3800,0,3800,0,"PEN",3980.979282,3982.899722,4122.449248,10000,"FALSE","TRUE","PE",1,0,93,"active",50,3,"Full",2917.000289,0,0,4868850,2809,"US","other",100,"FALSE",1,2955.703218,1
287936,"paid",1,0,0,"en","Agriculture","Farm Supplies",225,225,0,225,0,"UGX",4111.555579,4111.573912,4513.342454,10000,"FALSE","TRUE","UG",1,0,84,"active",2,3,"Full",2808.638924,93.35345996,0.388753284,8096225,3668,"GB","director",18,"FALSE",0,3196.493414,0
6129,"paid",1,1,0,"en","Agriculture","Farming",650,650,0,650,0,"USD",2631.763403,2633.00015,3012.418356,10000,"FALSE","TRUE","WS",1,0,15,"active",22,2.5,"Full",2404.057199,0,0,3838125,6268,"CA","student",33,"FALSE",0,2526.12331,1
144347,"paid",15,0.733333333,0,"en","Food","Food Production/Sales",3400,3400,0,3400,0,"DOP",3575.396065,3581.640243,3757.366887,10000,"FALSE","TRUE","DO",1,0,44,"active",50,2.5,"Full",2607.220637,0.39865714,0.276167985,5784275,2743,"US","nurs",422,"FALSE",0,3042.121597,2
397982,"paid",1,1,0,"en","Retail","General Store",525,525,0,525,0,"RWF",4441.639016,4442.571458,4553.355243,4471.639016,"FALSE","TRUE","RW",0,0,161,"active",17,4,"Full",3814.222257,1.277937064,0,2551900,3212,"NL","other",8135,"FALSE",1,2568.56662,10
353206,"paid",1,1,0,"en","Clothing","Used Clothing",225,225,0,225,0,"KES",4322.132002,4324.050729,4610.442083,10000,"FALSE","TRUE","KE",1,0,138,"active",9,4,"Full",3487.201435,4.836042887,0.081594622,1216750,3492,"US","other",95,"FALSE",0,2806.953218,0
253553,"paid",1,0,0,"es","Health","Health",700,700,0,700,0,"NIO",3987.333796,3989.75456,4308.331944,10000,"FALSE","TRUE","NI",1,0,96,"active",26,2.5,"Full",3023.257049,2.171123045,0.285780224,3686325,6501,"US","other",6855,"FALSE",2,2192.375706,6
505845,"in_repayment",1,1,0,"en","Retail","General Store",1225,1225,0,1071.87,0,"PHP",4728.090301,4742.715903,NaN,4758.090301,"FALSE","TRUE","PH",0,0,144,"active",36,3,"Full",3463.196238,1.158572983,0.08329179,2079725,4413,"US","other",13974,"FALSE",1,2557.896852,1
258148,"paid",1,1,0,"en","Food","Bakery",350,350,0,350,0,"PHP",4001.61125,4002.320556,4183.474468,10000,"FALSE","TRUE","PH",0,0,136,"active",11,3,"Full",3427.597315,0,0,2553300,8909,NaN,"other",184,"FALSE",2,2857.716644,0
279595,"paid",1,1,0,"es","Services","Internet Cafe",725,725,0,725,0,"PEN",4085.14588,4085.347998,4213.441875,10000,"FALSE","TRUE","PE",3,0,119,"active",29,3.5,"Full",3165.028148,0.357257971,0.016690613,7779500,10159,"US","other",22,"FALSE",0,4081.213611,2
342798,"paid",1,1,0,"es","Retail","Home Products Sales",700,700,0,700,0,"USD",4302.305602,4322.59338,4397.463519,10000,"FALSE","TRUE","SV",1,0,167,"active",24,3.5,"Full",3793.715324,7.024999184,0.872935424,3093300,6044,"AU","manage",40,"FALSE",0,4282.543819,1
450893,"paid",17,0.823529412,0,"en","Food","Grocery Store",3625,3625,0,3625,0,"TZS",4583.795046,4586.716331,4732.700486,4613.795046,"FALSE","TRUE","TZ",1,0,87,"active",50,3,"Full",2867.888935,0.87069238,0.103599804,5284850,1668,"US","other",80,"FALSE",1,2658.077407,2
200827,"paid",1,1,0,"es","Retail","Home Products Sales",1000,1000,0,1000,0,"USD",3789.076435,3816.907731,3971.582106,10000,"FALSE","TRUE","EC",1,0,137,"active",31,4,"Full",3466.833391,1.754973894,0.036413084,6075750,5231,"US","social",124,"FALSE",4,2908.537604,0
177173,"paid",2,1,0,"en","Agriculture","Pigs",325,325,0,325,0,"PHP",3702.014016,3702.352824,3757.404086,10000,"FALSE","TRUE","PH",2,0,126,"active",11,3,"Full",3247.415266,0,0,3061775,9303,"US","student",138,"FALSE",1,3381.766134,0
369245,"paid",1,1,0,"es","Services","Services",275,275,0,275,0,"PEN",4364.395938,4368.654525,4549.451551,10000,"FALSE","TRUE","PE",0,0,119,"active",11,3.5,"Full",3165.028148,0.357257971,0.016690613,7779500,10159,"NL","other",3863,"FALSE",2,2645.542292,2
451088,"in_repayment",5,0.6,0,"fr","Food","Grocery Store",3350,3350,0,2943.63,16.34,"BIF",4582.395856,4606.962685,NaN,4612.395856,"TRUE","TRUE","BI",0,0,162,"active",2,2.5,"Full",3738.597245,1.786432158,0.027466551,1612500,489,"CA","other",4957,"FALSE",1,3966.7614,11
45589,"paid",1,1,0,"en","Retail","Charcoal Sales",175,175,0,175,0,"TZS",3069.7225,3070.538356,3435.339201,10000,"FALSE","TRUE","TZ",0,0,102,"closed",6,0,"Full",2912.889259,0,0,1392625,3360,"US","artist",14,"FALSE",0,2891.39809,0
205895,"paid",12,1,0,"en","Food","Food Production/Sales",3875,3875,0,3875,0,"GHS",3808.659745,3811.798854,4025.485741,10000,"FALSE","TRUE","GH",0,0,88,"active",6,NaN,"Basic",2867.586863,70.31581049,0,3895025,5623,"US","consultant",55,"FALSE",0,3477.791944,0
126897,"paid",1,1,0,"en","Retail","General Store",425,425,0,425,0,"PHP",3503.652847,3503.822373,3606.936296,10000,"FALSE","TRUE","PH",1,0,136,"active",13,3,"Full",3427.597315,0,0,2553300,8909,"GB","other",104,"FALSE",6,3173.681829,0
216829,"paid",14,0.571428571,0,"en","Health","Medical Clinic",2525,2525,0,2525,0,"UGX",3857.062535,3857.281609,3971.649896,10000,"FALSE","TRUE","UG",1,0,84,"active",50,3,"Full",2808.638924,93.35345996,0.388753284,8096225,3668,"US","student",1642,"FALSE",1,2657.161435,4
486694,"in_repayment",1,1,0,"en","Retail","Cosmetics Sales",1000,1000,0,336,0,"USD",4689.548634,4706.556343,NaN,4719.548634,"FALSE","TRUE","KH",0,0,9,"active",35,5,"Full",2314.66412,0.116379011,0.02387086,7897775,9990,"VN","physician",211,"FALSE",1,2869.339931,1
464776,"paid",14,0.928571429,0,"en","Retail","Retail",3150,3150,0,3150,0,"TZS",4628.847245,4634.831076,4763.669225,4658.847245,"FALSE","TRUE","TZ",1,0,87,"active",42,3,"Full",2867.888935,0.87069238,0.103599804,5284850,1668,"US","other",1,"FALSE",0,4632.019618,1
210585,"paid",1,1,0,"en","Agriculture","Farming",750,750,0,750,0,"KES",3828.625035,3828.722975,4032.576435,10000,"FALSE","TRUE","KE",0,0,133,"active",27,3,"Full",3436.482766,3.357199335,0.426269715,6195650,14242,"DE","student",532,"FALSE",0,3180.523009,1
458063,"in_repayment",1,0,0,"en","Transportation","Motorcycle Transport",375,375,0,281.25,0,"KES",4605.72228,4609.814479,NaN,4635.72228,"FALSE","TRUE","KE",1,0,133,"active",1,3,"Full",3436.482766,3.357199335,0.426269715,6195650,14242,"US","business",64,"FALSE",0,2963.816539,0
523475,"in_repayment",1,1,0,"en","Clothing","Used Clothing",1225,1225,0,244.02,0,"ALL",4780.771238,4797.528322,NaN,4810.771238,"FALSE","TRUE","AL",0,0,239,"active",47,2,"Full",4520.604201,0.085003835,0,498850,396,"US","social",16,"FALSE",2,2976.242338,1
357645,"paid",1,1,0,"en","Food","Grocery Store",325,325,0,325,0,"PHP",4339.666875,4370.866516,4641.427025,10000,"FALSE","TRUE","PH",0,0,128,"active",11,3,"Full",3335.209225,0.302681246,0,3162925,15572,NaN,NaN,NaN,"FALSE",NaN,NaN,0
