Name,Country_of_Operator,Operator_Owner,Users,Purpose,Class_of_Orbit,Type_of_Orbit,Perigee_km,Apogee_km,Eccentricity,Period_minutes,Launch_Mass_kg,Dry_Mass_kg,Power_watts,Date_of_Launch,Anticipated_Lifetime,Contractor,Country_of_Contractor,Launch_Site,Launch_Vehicle,Source_Used_for_Orbital_Data,longitude_radians_of_geo,Inclination_radians
X37-B OTV-1 (USA 240),USA,US Air Force,Military,Technology Development,LEO,NaN,342,358,0.00119,91.54,4990,NaN,NaN,41254,NaN,Boeing,USA,Cape Canaveral,Atlas 5,ZARYA,NaN,0.759218225
XaTcobeo,Spain,University of Vigo,Civil,Technology Development,LEO,NaN,306,1261,0.06675,100.5,1,NaN,NaN,40952,NaN,University of Vigo,Spain,Guiana Space Center,Vega,www.spacedebris.net 12/12,NaN,1.21300383
Xinyan 1 (XY-1),China (PR),DFH Satellite,Government,Technology Development,LEO,NaN,489,501,0.00087,94.51,NaN,NaN,NaN,41231,NaN,Chinese Academy of Space Technology (CAST),China (PR),Taiyuan Launch Center,Long March 2C,ZARYA,NaN,1.699078027
XM Radio 3 (Rhythm),USA,XM Satellite Radio USA,Commercial,Communications,GEO,NaN,35782,35790,9.00E-005,1436.1,4703,NaN,18000,38412,15,Boeing Satellite Systems,USA,Sea Launch (Odyssey),Zenit 3SL,JM/12_08,-1.484227996,0.000174533
XM Radio 4 (Blues),USA,XM Satellite Radio USA,Commercial,Communications,GEO,NaN,35784,35787,4.00E-005,1436.09,5193,NaN,18000,39020,15,Boeing Satellite Systems,USA,Sea Launch (Odyssey),Zenit 3SL,JM/12_08,-2.006430508,0.000174533
XM Rock (XM 2),USA,XM Satellite Radio USA,Commercial,Communications,GEO,NaN,35784,35789,6.00E-005,1436.13,4682,2500,18000,36968,15,Boeing Satellite Systems,USA,Sea Launch (Odyssey),Zenit 3SL,JM/12_08,-1.487544121,0.001396263
XM Roll (XM 1),USA,XM Satellite Radio USA,Commercial,Communications,GEO,NaN,35785,35788,4.00E-005,1436.11,4667,2500,18000,37019,15,Boeing Satellite Systems,USA,Sea Launch (Odyssey),Zenit 3SL,JM/12_08,-1.486322391,0.001570796
XMM Newton (High Throughput X-ray Spectroscopy Mission),ESA,European Space Operations Centre (ESOC),Government,Space Physics,Elliptical,Deep Highly Eccentric,7079,114027,0.79904,2872.15,3764,3233,NaN,36504,0.5,Dornier Systems (and 46 subcontractors),International,Guiana Space Center,Ariane 5,JMSatcat304,NaN,0.670206433
X-Sat,Singapore,Centre for Research in Satellite Technology (CREST),Government,Earth Observation,LEO,Sun-Synchronous,801,823,0.00153,101.1,91,NaN,175,40653,3,Centre for Research in Satellite Technology (CREST),Singapore,Sriharikota Launch Station,PSLV C16,www.spacedebris.net 12/12,NaN,1.722639972
XTAR-EUR,Spain,Ministry of Defense/XTAR,Military/Government,Communications,GEO,NaN,35778,35792,0.00017,1436.06,3631,1412,NaN,38395,15,Space Systems/Loral,USA,Guiana Space Center,Ariane 5 ECA,JM/12_08,0.506669082,0.001745329
"XW-1 (Hope Oscar 68, HO-68, Xi Wang 1, Hope-1, CAS-1)",China (PR),DFH Satellite/AMSAT-China,Civil,Communications,LEO,Sun-Synchronous,1193,1205,0.00079,109.4,60,NaN,NaN,40162,NaN,DFH Satellite,China (PR),Taiyuan Launch Center,Long March 4C,www.spacedebris.net 12/12,NaN,1.75056524
Yahsat-1A (Y1A),United Arab Emirates,Al Yah Satellite Communications Company (YAHSAT),Military/Commercial,Communications,GEO,NaN,35743,35823,0.00095,1435.92,5953,NaN,NaN,40655,15,Astrium/Thales Alenia Space,France,Guiana Space Center,Ariane 5,SC - ASCR,0.916297857,0.000698132
Yahsat-1B (Y1B),United Arab Emirates,Al Yah Satellite Communications Company (YAHSAT),Military/Commercial,Communications,GEO,NaN,35780,35791,0.00013,1436.07,6000,NaN,NaN,41022,NaN,Astrium/Thales Alenia Space,France,Baikonur Cosmodrome,Proton M,JM/7_12,0.830776724,0
Yamal-201,Russia,Gazprom Space Systems,Commercial,Communications,GEO,NaN,35773,35800,0.00032,1436.1,1360,NaN,2000,37949,12,Rocket-Space Corporation Energia/Alcatel,Russia/France,Baikonur Cosmodrome,Proton K,JM/12_08,1.571668991,0.000523599
Yamal-202,Russia,Gazprom Space Systems,Commercial,Communications,GEO,NaN,35774,35796,0.00026,1436.06,1320,NaN,2000,37949,12,Rocket-Space Corporation Energia/Alcatel,Russia,Baikonur Cosmodrome,Proton K,JM/12_08,0.855734932,0.000698132
Yamal-300K,Russia,Gaxprom Space Systems,Commercial,Communications,GEO,NaN,35694,35866,0.00204,1435.76,1640,NaN,NaN,41215,NaN,OAO Reseteneva,Russia,Baikonur Cosmodrome,Proton M,SC - ASCR,1.570796327,0.002443461
Yamal-402,Russia,Gazprom Space Systems,Commercial,Communications,GEO,NaN,35784,35789,6.00E-005,1436.11,4463,NaN,NaN,41251,11,Thales,France,Baikonur Cosmodrome,Proton M,SC - ASCR,0.959931089,0.001047198
Yaogan 10 (Remote Sensing Satellite 10),China (PR),People's Liberation Army (C41),Military,Remote Sensing,LEO,Sun-Synchronous,625,628,0.00021,97.2,NaN,NaN,NaN,40399,NaN,Shanghai Academy of Satellite Technology (SAST),China (PR),Taiyuan Launch Center,Long March 4C,www.spacedebris.net 12/12,NaN,1.706932008
Yaogan 11 (Remote Sensing Satellite 11),China (PR),People's Liberation Army (C41),Military,Remote Sensing,LEO,Sun-Synchronous,626,668,0.00299,97.7,NaN,NaN,NaN,40443,NaN,Chinese Academy of Space Technology (CAST),China (PR),Jiuquan Satellite Launch Center,Long March 2D,www.spacedebris.net 12/12,NaN,1.708677338
Yaogan 12 (Remote Sensing Satellite 12),China (PR),People's Liberation Army (C41),Military,Remote Sensing,LEO,Sun-Synchronous,487,496,0.00066,94.4,NaN,NaN,NaN,40856,NaN,Chinese Academy of Space Technology (CAST),China (PR),Taiyuan Launch Center,Long March 4B,www.spacedebris.net 12/12,NaN,1.699950691
Yaogan 13 (Remote Sensing Satellite 13),China (PR),People's Liberation Army (C41),Military,Remote Sensing,LEO,Sun-Synchronous,506,507,7.00E-005,94.8,NaN,NaN,NaN,40876,NaN,Chinese Academy of Space Technology (CAST),China (PR),Taiyuan Launch Center,Long March 2C,www.spacedebris.net 12/12,NaN,1.699950691
Yaogan 14 (Remote Sensing Satellite 14),China (PR),People's Liberation Army (C41),Military,Remote Sensing,LEO,Sun-Synchronous,469,481,0.00088,94.1,NaN,NaN,NaN,41039,NaN,Chinese Academy of Space Technology (CAST),China (PR),Taiyuan Launch Center,Long March 4B,www.satellitedebris.net 12/12,NaN,1.698205362
Yaogan 15 (Remote Sensing Satellite 15),China (PR),People's Liberation Army (C41),Military,Remote Sensing,LEO,Sun-Synchronous,1201,1207,4.00E-004,109.5,1040,NaN,NaN,41058,NaN,Chinese Academy of Space Technology (CAST),China (PR),Taiyuan Launch Center,Long March 4C,www.spacedebris.net 12/12,NaN,1.74881991
"Yaogan 16A (Remote Sensing Satellite 16A, Yaogan Weixing 16)",China (PR),People's Liberation Army (C41),Military,Remote Sensing,LEO,Sun-Synchronous,1080,1089,6.00E-004,106.93,NaN,NaN,NaN,41238,NaN,Chinese Academy of Space Technology (CAST),China (PR),Jiuquan Satellite Launch Center,Long March 4C,SC - ASCR,NaN,1.10618968
Yaogan 16B (Remote Sensing Satellite 16B),China (PR),People's Liberation Army (C41),Military,Remote Sensing,LEO,Sun-Synchronous,1079,1090,0.00074,106.93,NaN,NaN,NaN,41238,NaN,Chinese Academy of Space Technology (CAST),China (PR),Jiuquan Satellite Launch Center,Long March 4C,SC - ASCR,NaN,1.10618968
Yaogan 16C (Remote Sensing Satlelite 16C),China (PR),People's Liberation Army (C41),Military,Remote Sensing,LEO,Sun-Synchronous,1032,1081,0.0033,106.33,NaN,NaN,NaN,41238,NaN,Chinese Academy of Space Technology (CAST),China (PR),Jiuquan Satellite Launch Center,Long March 4C,SC - ASCR,NaN,1.10618968
"Yaogan 17A (Remote Sensing Satellite 17A, Yaogan Weixing 17)",China (PR),People's Liberation Army (C41),Military,Remote Sensing,LEO,Sun-Synchronous,1076,1111,0.00234,107.12,NaN,NaN,NaN,41518,NaN,Chinese Academy of Space Technology (CAST),China (PR),Jiuquan Satellite Launch Center,Long March 4C,ZARYA,NaN,1.106713279
Yaogan 17B (Remote Sensing Satellite 17B),China (PR),People's Liberation Army (C41),Military,Remote Sensing,LEO,Sun-Synchronous,1080,1111,0.00208,107.13,NaN,NaN,NaN,41518,NaN,Chinese Academy of Space Technology (CAST),China (PR),Jiuquan Satellite Launch Center,Long March 4C,ZARYA,NaN,1.106887812
Yaogan 17C (Remote Sensing Satellite 17C),China (PR),People's Liberation Army (C41),Military,Remote Sensing,LEO,Sun-Synchronous,890,1112,0.01506,105.14,NaN,NaN,NaN,41518,NaN,Chinese Academy of Space Technology (CAST),China (PR),Jiuquan Satellite Launch Center,Long March 4C,ZARYA,NaN,1.107760476
Yaogan 18 (Remote Sensing Satellite 18),China (PR),People's Liberation Army (C41),Military,Remote Sensing,LEO,Sun-Synchronous,509,513,0.00029,94.84,NaN,NaN,NaN,41576,NaN,Chinese Academy of Space Technology (CAST),China (PR),Taiyuan Launch Center,Long March 2C,SC - ASCR,NaN,1.702394152
Yaogan 19 (Remote Sensing Satellite 19),China (PR),People's Liberation Army (C41),Military,Remote Sensing,LEO,Sun-Synchronous,1201,1207,4.00E-004,109.51,NaN,NaN,NaN,41598,NaN,Chinese Aerospace Science and Technology Corp.,China (PR),Taiyuan Launch Center,Long March 4C,SC - ASCR,NaN,1.753706832
"Yaogan 2 (Remote Sensing Satellite 2, Jian Bing 5-2, JB 5-2)",China (PR),People's Liberation Army (C41),Military,Remote Sensing,LEO,Sun-Synchronous,633,661,0.002,97.7,1200,NaN,NaN,39227,NaN,Chinese Academy of Space Technology (CAST),China (PR),Jiuquan Satellite Launch Center,Long March CZ2D,www.spacedebris.net 12/12,NaN,1.710422667
"Yaogan 3 (Remote Sensing Satellite 3, Jian Bing 5-3, JB 5-3)",China (PR),People's Liberation Army (C41),Military,Remote Sensing,LEO,Sun-Synchronous,625,627,0.00014,97.2,2700,NaN,NaN,39397,NaN,Shanghai Academy of Satellite Technology (SAST),China (PR),Taiyuan Launch Center,Long March,www.spacedebris.net 12/12,NaN,1.708677338
Yaogan 4 (Remote Sensing Satellite 4),China (PR),People's Liberation Army (C41),Government,Remote Sensing,LEO,Sun-Synchronous,635,658,0.00164,97.7,2700,NaN,NaN,39783,NaN,Chinese Academy of Space Technology (CAST),China (PR),Jiuquan Satellite Launch Center,Long March 2D,www.spacedebris.net 12/12,NaN,1.706932008
